日期,TWA00加權指數:收盤價,TX台指期近期:收盤價,TX2台指期次月:收盤價,TX近期:交割月份,TX近期:未沖銷契約數,TX2次月:未沖銷契約數,TWX摩根現貨:收盤價,SMTF:收盤價,SMTF2:收盤價,SMTF:交割月份,SMTF:未沖銷契約數,SMTF2:未沖銷契約數,TXOC台指選近月:全部未沖銷,TXOC1台指選近月:全部未沖銷,TXOC2台指選近月:全部未沖銷,TXOP台指選近月:全部未沖銷,TXOP1台指選近月:全部未沖銷,TXOP2台指選近月:全部未沖銷,TX03外資:期貨多方未平倉,TX03外資:期貨空方未平倉,MTX01自營商:多方未平倉,MTX02投信:多方未平倉,MTX03外資:多方未平倉,MTX01自營商:空方未平倉,MTX02投信:空方未平倉,MTX03外資:空方未平倉,MTX近期:未沖銷契約數,MTX2次月:未沖銷契約數,TX近月:前十大淨,TX全月:前十大淨,TX近月:特定人淨,TX全月:特定人淨,TX03PM外資(盤後):多方交易,TX03PM外資(盤後):空方交易,TX03PM外資(盤後):淨額
2004-01-02,6041.56,6056,6066,200401,37498,1234,266.26,267.7,,200401.0,70491.0,,,,,,,,,,,,,,,,5981,184,,,,,,,
2004-01-05,6125.42,6144,6145,200401,38817,1890,269.73,270.7,,200401.0,74765.0,,,,,,,,,,,,,,,,6468,252,,,,,,,
2004-01-06,6144.01,6160,6160,200401,37759,2793,270.56,270.9,,200401.0,76363.0,,,,,,,,,,,,,,,,6667,348,,,,,,,
2004-01-07,6141.25,6174,6178,200401,39454,3624,270.09,270.2,,200401.0,78829.0,,,,,,,,,,,,,,,,6618,480,,,,,,,
2004-01-08,6169.17,6211,6213,200401,40165,4291,271.38,272.0,,200401.0,78808.0,,,,,,,,,,,,,,,,6703,548,,,,,,,
2004-01-09,6226.98,6270,6270,200401,37680,5650,274.71,275.4,,200401.0,82286.0,,,,,,,,,,,,,,,,5524,678,,,,,,,
2004-01-12,6219.71,6275,6272,200401,37201,7455,274.49,276.2,,200401.0,83272.0,,,,,,,,,,,,,,,,5618,804,,,,,,,
2004-01-13,6210.22,6254,6254,200401,33727,12307,274.04,275.0,,200401.0,82202.0,,,,,,,,,,,,,,,,5045,1278,,,,,,,
2004-01-14,6274.97,6325,6339,200401,27288,17337,276.32,278.1,,200401.0,84693.0,,,,,,,,,,,,,,,,4399,1671,,,,,,,
2004-01-15,6264.37,6300,6320,200401,22903,23786,275.38,276.4,,200401.0,78356.0,,,,,,,,,,,,,,,,4018,2249,,,,,,,
2004-01-16,6269.71,6285,6322,200401,17414,30531,275.07,275.9,,200401.0,0.0,,,,,,,,,,,,,,,,2921,2997,,,,,,,
2004-01-27,6384.63,6370,6384,200401,10450,36849,279.5,278.6,,200401.0,78306.0,,,,,,,,,,,,,,,,1848,3592,,,,,,,
2004-01-28,6386.25,6367,6375,200402,39626,501,278.63,277.8,,200401.0,59722.0,,,,,,,,,,,,,,,,4589,176,,,,,,,
2004-01-29,6312.65,6331,6333,200402,39663,687,275.25,275.6,,200401.0,79173.0,,,,,,,,,,,,,,,,5395,193,,,,,,,
2004-01-30,6375.38,6381,6388,200402,38574,699,276.82,277.3,,200402.0,81605.0,,,,,,,,,,,,,,,,5460,183,,,,,,,
2004-02-02,6319.96,6330,6335,200402,41424,1039,273.05,272.5,,200402.0,84728.0,,,,,,,,,,,,,,,,6024,223,,,,,,,
2004-02-03,6252.23,6259,6262,200402,42317,1347,269.71,268.6,,200402.0,84829.0,,,,,,,,,,,,,,,,6026,301,,,,,,,
2004-02-04,6241.39,6235,6242,200402,42536,1671,268.46,267.5,,200402.0,80956.0,,,,,,,,,,,,,,,,6188,399,,,,,,,
2004-02-05,6268.14,6285,6293,200402,40143,2136,268.78,269.2,,200402.0,82763.0,,,,,,,,,,,,,,,,5960,487,,,,,,,
2004-02-06,6353.35,6365,6375,200402,39745,2449,272.01,272.9,,200402.0,81582.0,,,,,,,,,,,,,,,,6065,596,,,,,,,
2004-02-09,6463.09,6470,6475,200402,37553,2645,277.29,278.2,,200402.0,84659.0,,,,,,,,,,,,,,,,5879,722,,,,,,,
2004-02-10,6488.34,6475,6480,200402,37787,3053,276.83,276.8,,200402.0,86369.0,,,,,,,,,,,,,,,,6022,822,,,,,,,
2004-02-11,6454.39,6458,6466,200402,37150,4072,275.54,276.0,,200402.0,89149.0,,,,,,,,,,,,,,,,5751,960,,,,,,,
2004-02-12,6436.95,6440,6465,200402,30274,7117,276.6,277.6,,200402.0,92540.0,,,,,,,,,,,,,,,,4841,1598,,,,,,,
2004-02-13,6549.18,6565,6579,200402,26145,9138,281.09,282.5,,200402.0,93548.0,,,,,,,,,,,,,,,,4415,2134,,,,,,,
2004-02-16,6565.37,6571,6574,200402,23125,13256,280.44,281.4,,200402.0,93609.0,,,,,,,,,,,,,,,,4173,2819,,,,,,,
2004-02-17,6600.47,6615,6620,200402,18003,19363,281.31,283.2,,200402.0,94376.0,,,,,,,,,,,,,,,,3451,3456,,,,,,,
2004-02-18,6605.85,6615,6635,200402,12138,25958,282.25,283.6,,200402.0,96111.0,,,,,,,,,,,,,,,,1430,4474,,,,,,,
2004-02-19,6681.52,6716,6724,200403,28869,149,285.88,286.8,,200402.0,97441.0,,,,,,,,,,,,,,,,5223,27,,,,,,,
2004-02-20,6665.54,6696,6700,200403,31736,198,285.11,285.3,,200402.0,94844.0,,,,,,,,,,,,,,,,5619,44,,,,,,,
2004-02-23,6665.89,6703,6711,200403,32806,207,284.21,285.3,,200402.0,85037.0,,,,,,,,,,,,,,,,5579,60,,,,,,,
2004-02-24,6589.23,6643,6653,200403,36338,312,280.27,282.1,,200402.0,65677.0,,,,,,,,,,,,,,,,5854,79,,,,,,,
2004-02-25,6644.28,6685,6692,200403,37294,390,282.35,282.9,,200402.0,87011.0,,,,,,,,,,,,,,,,5912,98,,,,,,,
2004-02-26,6693.25,6735,6739,200403,37037,484,285.53,286.0,,200402.0,91464.0,,,,,,,,,,,,,,,,5767,133,,,,,,,
2004-02-27,6750.54,6802,6815,200403,36230,640,287.79,290.3,,200403.0,97291.0,,,,,,,,,,,,,,,,5545,187,,,,,,,
2004-03-01,6888.43,6968,6975,200403,39776,1475,294.49,295.9,,200403.0,100595.0,,,,,,,,,,,,,,,,5043,276,,,,,,,
2004-03-02,6975.26,7055,7079,200403,43822,1863,299.54,300.1,,200403.0,102485.0,,,,,,,,,,,,,,,,5072,457,,,,,,,
2004-03-03,6932.17,7012,7035,200403,50669,2318,297.08,296.7,,200403.0,103418.0,,,,,,,,,,,,,,,,5573,517,,,,,,,
2004-03-04,7034.1,7150,7160,200403,53460,2666,300.55,302.9,,200403.0,101220.0,,,,,,,,,,,,,,,,5705,603,,,,,,,
2004-03-05,6943.68,7075,7084,200403,54740,4254,296.58,298.2,,200403.0,102491.0,,,,,,,,,,,,,,,,6216,785,,,,,,,
2004-03-08,6901.48,6979,7009,200403,57770,5231,294.02,295.7,,200403.0,103000.0,,,,,,,,,,,,,,,,6874,1048,,,,,,,
2004-03-09,6973.9,7051,7070,200403,60871,6384,296.46,298.0,,200403.0,103795.0,,,,,,,,,,,,,,,,7294,1207,,,,,,,
2004-03-10,6874.91,6930,6940,200403,58989,10164,291.33,292.1,,200403.0,101711.0,,,,,,,,,,,,,,,,8192,1805,,,,,,,
2004-03-11,6879.11,6922,6935,200403,56735,12843,291.12,290.6,,200403.0,101396.0,,,,,,,,,,,,,,,,8277,2319,,,,,,,
2004-03-12,6800.24,6807,6822,200403,52465,17893,286.32,285.3,,200403.0,98358.0,,,,,,,,,,,,,,,,8567,3121,,,,,,,
2004-03-15,6635.98,6563,6595,200403,41146,24629,279.38,276.7,,200403.0,92363.0,,,,,,,,,,,,,,,,7322,4272,,,,,,,
2004-03-16,6589.72,6555,6570,200403,30561,31549,277.84,276.9,,200403.0,86607.0,,,,,,,,,,,,,,,,6842,5224,,,,,,,
2004-03-17,6577.98,6565,6599,200403,28822,38036,278.22,277.5,,200403.0,85151.0,,,,,,,,,,,,,,,,4668,6119,,,,,,,
2004-03-18,6787.03,6845,6849,200404,41736,42,287.35,289.5,,200403.0,87386.0,,,,,,,,,,,,,,,,6489,32,,,,,,,
2004-03-19,6815.09,6830,6847,200404,45893,105,288.96,288.8,,200403.0,84755.0,,,,,,,,,,,,,,,,7220,51,,,,,,,
2004-03-22,6359.92,6352,6368,200404,46297,162,269.59,252.2,,200403.0,91299.0,,,,,,,,,,,,,,,,6871,108,,,,,,,
2004-03-23,6172.89,6055,6069,200404,37374,307,261.11,257.0,,200403.0,82662.0,,,,,,,,,,,,,,,,6489,142,,,,,,,
2004-03-24,6213.56,6180,6195,200404,35016,316,265.33,263.8,,200403.0,73421.0,,,,,,,,,,,,,,,,6913,154,,,,,,,
2004-03-25,6156.73,6135,6139,200404,32468,339,262.85,262.0,,200403.0,58317.0,,,,,,,,,,,,,,,,7089,198,,,,,,,
2004-03-26,6132.62,6125,6130,200404,33290,396,262.57,260.9,,200403.0,46686.0,,,,,,,,,,,,,,,,7159,225,,,,,,,
2004-03-29,6474.11,6471,6473,200404,31926,395,277.3,277.7,,200403.0,59964.0,,,,,,,,,,,,,,,,7097,215,,,,,,,
2004-03-30,6494.71,6487,6490,200404,30529,483,276.25,275.7,,200403.0,63146.0,,,,,,,,,,,,,,,,7367,249,,,,,,,
2004-03-31,6522.19,6480,6487,200404,32287,571,277.02,276.2,,200404.0,64191.0,,,,,,,,,,,,,,,,7845,296,,,,,,,
2004-04-01,6523.49,6471,6475,200404,33489,604,276.84,275.7,,200404.0,64523.0,,,,,,,,,,,,,,,,8097,316,,,,,,,
2004-04-02,6545.54,6493,6500,200404,32641,685,277.3,275.5,,200404.0,65017.0,,,,,,,,,,,,,,,,7503,336,,,,,,,
2004-04-05,6682.73,6692,6700,200404,29892,763,283.92,284.9,,200404.0,69227.0,,,,,,,,,,,,,,,,7013,376,,,,,,,
2004-04-06,6635.54,6660,6660,200404,31960,939,282.1,283.1,,200404.0,70315.0,,,,,,,,,,,,,,,,7223,401,,,,,,,
2004-04-07,6646.74,6665,6668,200404,33091,1030,282.96,282.8,,200404.0,69981.0,,,,,,,,,,,,,,,,7420,437,,,,,,,
2004-04-08,6672.86,6681,6682,200404,32319,1097,283.77,284.1,,200404.0,70112.0,,,,,,,,,,,,,,,,7514,465,,,,,,,
2004-04-09,6620.36,6625,6618,200404,31215,1532,280.99,280.7,,200404.0,70677.0,,,,,,,,,,,,,,,,7595,596,,,,,,,
2004-04-12,6777.78,6800,6809,200404,30121,1959,287.65,288.2,,200404.0,76176.0,,,,,,,,,,,,,,,,6373,696,,,,,,,
2004-04-13,6794.33,6823,6850,200404,30874,2502,287.75,288.1,,200404.0,74375.0,,,,,,,,,,,,,,,,6633,823,,,,,,,
2004-04-14,6880.18,6920,6921,200404,31028,3696,292.39,293.7,,200404.0,76632.0,,,,,,,,,,,,,,,,6233,1017,,,,,,,
2004-04-15,6736.79,6749,6750,200404,29438,7051,286.28,285.6,,200404.0,75466.0,,,,,,,,,,,,,,,,6546,1681,,,,,,,
2004-04-16,6818.2,6828,6832,200404,27111,9406,289.72,289.8,,200404.0,77136.0,,,,,,,,,,,,,,,,5674,2102,,,,,,,
2004-04-19,6779.18,6809,6795,200404,23654,13616,287.46,287.4,,200404.0,75483.0,,,,,,,,,,,,,,,,5198,3052,,,,,,,
2004-04-20,6799.97,6839,6840,200404,19874,21919,288.65,290.0,,200404.0,76342.0,,,,,,,,,,,,,,,,4365,4280,,,,,,,
2004-04-21,6810.25,6824,6832,200404,15124,27966,289.35,289.1,,200404.0,74919.0,,,,,,,,,,,,,,,,3338,5310,,,,,,,
2004-04-22,6732.09,6718,6730,200405,32216,242,287.32,285.1,,200404.0,76721.0,,,,,,,,,,,,,,,,6568,107,,,,,,,
2004-04-23,6748.1,6750,6760,200405,32448,272,288.73,287.9,,200404.0,71707.0,,,,,,,,,,,,,,,,6646,121,,,,,,,
