日期,外資買賣超,自營商買賣超,投信買賣超,電子外資買賣超,不含金電外資買賣超,金融外資買賣超,融資餘額,融資增減,券餘,借券賣出餘額
2004-01-02,8499834,4900497,1129278,4999365,,521663,272547417,-132112,841328,
2004-01-05,5348486,3047683,2608299,3417406,,-33907,274279482,1732065,898980,
2004-01-06,8617334,1059223,453076,4494589,,528053,274678946,399464,936913,
2004-01-07,7338823,-6187,-181200,3824693,,650908,275634321,955375,966783,
2004-01-08,6365903,441064,-1391709,2831594,,1598385,276615684,981363,974419,
2004-01-09,16018665,2155049,307060,10169201,,2707049,275284212,-1331472,965307,
2004-01-12,11445013,268991,-1478715,9090628,,1537607,274266488,-1017724,947795,
2004-01-13,5219258,-619209,-1391059,3194483,,1537361,273188926,-1077562,928368,
2004-01-14,7598782,1617049,-492442,5229222,,1380395,273521782,332856,939487,
2004-01-15,3252400,163193,-385305,993334,,1948582,271946804,-1574978,915922,
2004-01-16,1407344,240890,-518117,1815164,,-262969,266100505,-5846299,887263,
2004-01-27,10749441,-468972,556595,10319805,,-697343,268922391,2821886,915288,
2004-01-28,7230886,-561123,-857160,5907507,,614435,271657921,2735530,938054,
2004-01-29,-2530863,-2717198,-2682139,-985414,,-1446123,274322087,2664166,901196,
2004-01-30,-748893,452920,-1161860,-196447,,-700042,277524128,3202041,950923,
2004-02-02,-793285,-767239,-687066,-458977,,-275097,279398833,1874705,945033,
2004-02-03,-3752175,-2351786,-1950977,-3445752,,-685953,280723912,1325079,892732,
2004-02-04,-3132179,-302700,-561396,-2780004,,-255651,282456159,1732247,929282,
2004-02-05,-4579654,85497,-533551,-4946476,,-607675,286382077,3925918,992818,
2004-02-06,5631177,1487859,307063,-8375,,1513774,287919931,1537854,1049732,
2004-02-09,6066372,1878086,95721,3406908,,-280294,290488983,2569052,1009100,
2004-02-10,2689791,1659251,-939651,1117474,,212691,293061987,2573004,1063926,
2004-02-11,295184,362032,-1209075,393311,,-1199033,295176264,2114277,1026704,
2004-02-12,10070151,345302,209897,3092250,,3213177,294490323,-685941,978848,
2004-02-13,453621,1661924,-874726,425431,,567280,301691847,7201524,1048644,
2004-02-16,-2210741,1822616,472609,-4118814,,1710556,304657008,2965161,1121150,
2004-02-17,-1644297,1130353,-467993,-1270636,,-975702,307346598,2689590,1168758,
2004-02-18,2840171,320971,6020,1632382,,224835,308537205,1190607,1138593,
2004-02-19,8788377,883677,636694,6471410,,450120,312572528,4035323,1186941,
2004-02-20,3700813,140501,372949,2431880,,838452,315006774,2434246,1189982,
2004-02-23,-4211596,103092,-115158,-1554427,,-1341647,317354336,2347562,1168410,
2004-02-24,-1874512,-712637,-207444,-2184607,,232574,317494280,139944,1143360,
2004-02-25,980098,454148,1458656,-664387,,951178,319228624,1734344,1190115,
2004-02-26,6412328,-263046,147430,2763344,,2527990,321479473,2250849,1215359,
2004-02-27,4503761,660046,-616494,1991616,,1904797,325191703,3712230,1287109,
2004-03-01,15153902,5046179,700857,9845765,,2205971,328308625,3116922,1355018,
2004-03-02,19407986,4145102,260973,10301384,,5713440,329426641,1118016,1360498,
2004-03-03,2997012,730350,-400812,1817348,,64707,333242119,3815478,1351186,
2004-03-04,10867495,1820398,-168639,6706336,,1768537,337281164,4039045,1373291,
2004-03-05,16025886,-1169941,-261184,9783275,,3280601,337320187,39023,1347872,
2004-03-08,12900567,-2198708,-1668683,7521815,,1342626,337277565,-42622,1301207,
2004-03-09,3002521,-487097,-618126,1546355,,-328048,339910790,2633225,1318670,
2004-03-10,-9310230,-1625308,-381014,-6693320,,-780454,342511442,2600652,1321156,
2004-03-11,-3951658,-1460650,-808977,-3467414,,-179197,346060179,3548737,1286791,
2004-03-12,-19616576,-1138437,610716,-11382243,,-3421573,349093954,3033775,1244200,
2004-03-15,-8495608,-6825379,-378120,-2638810,,-4277824,346655645,-2438309,1152898,
2004-03-16,-22687776,-2469113,-538000,-12911285,,-4277723,347915633,1259988,1065444,
2004-03-17,-9151014,695824,1323255,-4887104,,-1443553,346489237,-1426396,1014588,
2004-03-18,-11897475,6378858,1996918,-5825945,,-3033443,350770646,4281409,986756,
2004-03-19,4269600,2529372,1330845,3099644,,-145527,347808326,-2962320,912074,
2004-03-22,7550697,-1914200,-2192558,3813532,,2617794,344307424,-3500902,841152,
2004-03-23,-19459575,-11176633,-8876032,-12966320,,-2444656,332693744,-11613680,673156,
2004-03-24,2653128,-3567113,-1512595,3607690,,1139436,325505512,-7188232,575014,
2004-03-25,-6783836,-705895,-75033,-1603817,,-2224489,320666144,-4839368,517555,
2004-03-26,3757366,-2667182,-156632,3785009,,156414,314948978,-5717166,456970,
2004-03-29,-4650508,4008491,580283,-1569707,,-2289622,315505914,556936,463974,
2004-03-30,816820,1266385,732778,212229,,409409,316488340,982426,462467,
2004-03-31,-1801274,778453,-561030,-1132481,,-149868,317916291,1427951,477655,
2004-04-01,-2836313,817978,-1272410,-1126296,,-289146,320982878,3066587,452699,
2004-04-02,-2716083,713766,-1307080,-992662,,-477735,323063040,2080162,443348,
2004-04-05,5566596,2963676,1292423,3035301,,592022,323954289,891249,427090,
2004-04-06,5334323,-907067,-759346,5513613,,1077773,320604202,-3350087,407614,
2004-04-07,6417615,-596146,-1183355,3893184,,1644257,320274016,-330186,391545,
