日期,加權指數:收盤價,加權報酬指數:收盤價,電子類:收盤價,金融保險:收盤價,不含金融電子:收盤價,OTC指數:收盤價,不含金融電子報酬指數:收盤價,電子類報酬指數:收盤價,金融保險類報酬指數:收盤價,電子類:成交值比重(%),電子類:市值比重(%)
2010-01-14,8289.98,10633.6,343.45,904.3,9753.27,148.85,12599.61,398.52,998.9,69.745,55.614
2010-01-15,8356.89,10719.43,347.34,908.55,9788.93,149.79,12645.68,403.04,1003.59,69.403,55.795
2010-01-18,8337.82,10694.97,346.66,903.4,9774.76,150.28,12627.39,402.24,997.91,68.407,55.813
2010-01-19,8249,10581.04,342.04,901.74,9683.38,148.75,12509.34,396.88,996.07,68.889,55.621
2010-01-20,8220.93,10545.03,341.55,887.24,9664.72,148.6,12485.22,396.32,980.05,67.726,55.733
2010-01-21,8127.87,10425.66,336.61,885.07,9573.15,145.96,12366.94,390.58,977.65,65.121,55.604
2010-01-22,7927.31,10168.41,327.39,863.11,9381.2,142.84,12118.97,379.88,953.39,66.474,55.478
2010-01-25,7872.99,10098.72,326.32,853.79,9275.14,140.58,11981.95,378.64,943.1,68.683,55.676
2010-01-26,7598.81,9747.03,315.42,822.31,8937.44,133.4,11545.7,366,908.33,65.922,55.792
2010-01-27,7560.03,9697.3,312.71,822.76,8924.43,130.07,11528.89,362.85,908.83,71.071,55.611
2010-01-28,7694.58,9869.89,319.27,836.05,9041.97,134.23,11680.73,370.46,923.51,73.402,55.759
2010-01-29,7640.44,9800.44,316.89,829.11,8989.21,132.28,11612.58,367.7,915.84,71.575,55.737
2010-02-01,7524.67,9651.94,310.67,815.21,8926.02,131.11,11530.95,360.49,900.49,69.416,55.519
2010-02-02,7429.61,9530,307.73,803.85,8770.75,128.57,11330.37,357.08,887.94,69.427,55.704
2010-02-03,7547.98,9681.84,314.48,814.89,8830.29,131.05,11407.29,364.9,900.13,70.636,56.057
2010-02-04,7542.04,9674.22,313.87,812.33,8848.81,132.31,11431.2,364.19,897.31,71.8,56.011
2010-02-05,7217.83,9258.35,300.24,767.44,8517.2,125.82,11002.82,348.38,847.72,66.631,56.055
2010-02-06,7212.87,9251.99,300.96,759.94,8496.57,122.79,10976.16,349.22,839.43,66.047,56.233
2010-02-08,7215.88,9255.85,300.07,769.26,8510.6,123.73,10994.29,348.18,849.73,68.571,55.959
2010-02-09,7361.04,9442.05,306.09,783.18,8688.93,126.95,11224.66,355.17,865.11,69.716,55.931
2010-02-10,7441.84,9545.69,309.17,790.42,8803.3,129.26,11372.41,358.75,873.11,68.989,55.848
2010-02-22,7560.04,9697.31,312.11,821.58,8958.34,130.32,11572.7,362.15,907.53,67.138,55.5
2010-02-23,7597.44,9745.29,312.84,819.82,9066.08,131.24,11711.88,363,905.58,68.883,55.368
2010-02-24,7529.67,9658.35,309.28,814.75,9012.58,130.83,11642.76,358.87,899.98,69.108,55.234
2010-02-25,7426.96,9526.61,304.28,801.06,8937.59,129.22,11545.9,353.07,884.85,70.71,55.122
2010-02-26,7436.1,9538.32,303.7,804.79,8982.43,129.05,11603.82,352.4,888.97,69.462,54.968
2010-03-01,7577.75,9720.03,309.87,819.39,9138.21,131.42,11805.06,359.56,905.11,63.597,55.038
2010-03-02,7597.62,9745.51,311.5,819.29,9133.13,132.33,11798.5,361.44,905,66.722,55.161
2010-03-03,7629.52,9786.42,311.1,832.25,9212.14,132.88,11900.57,360.98,919.31,58.881,54.859
2010-03-04,7569.8,9709.83,309.13,817.28,9153.75,132.48,11825.13,358.7,902.78,62.108,54.939
2010-03-05,7666.26,9833.56,313.14,829.86,9257.98,134.05,11959.79,363.35,916.67,66.292,54.934
2010-03-08,7762.27,9956.71,319.18,834.89,9297.38,136.23,12010.69,370.36,922.23,73.199,54.884
2010-03-09,7770.59,9967.38,320.07,835.61,9282.47,136.65,11991.42,371.39,923.02,73.932,54.97
2010-03-10,7779.08,9978.27,319.91,841.66,9294.76,137.08,12007.3,371.2,929.71,71.978,54.886
2010-03-11,7749.66,9940.53,319.39,829.58,9265.17,137.05,11969.08,370.6,916.36,71.421,55.008
2010-03-12,7748.33,9938.82,318.82,830.84,9281.8,137.32,11990.56,369.93,917.75,71.756,54.937
2010-03-15,7634.92,9793.35,313.75,815.85,9176.59,135.73,11854.64,364.06,901.2,67.757,54.887
2010-03-16,7695.63,9871.23,316.09,823.43,9252.55,136.8,11952.78,366.77,909.57,69.372,54.848
2010-03-17,7847.84,10066.46,322.75,844.12,9397.46,139.26,12139.98,374.5,932.42,70.545,54.895
2010-03-18,7886.34,10115.85,324.16,850.06,9444.25,141.25,12200.41,376.13,938.98,68.025,55.401
2010-03-19,7897.91,10130.7,324.76,851.1,9452.93,142.44,12211.63,376.83,940.13,68.767,55.425
2010-03-22,7835.98,10051.25,321.65,843.09,9411.23,143.45,12157.76,373.22,931.29,66.545,55.308
2010-03-23,7811.87,10020.33,321.31,838.7,9358.88,143.32,12090.13,372.83,926.44,70.897,55.409
2010-03-24,7822.71,10034.24,321.81,839.07,9372.74,143.08,12108.04,373.41,926.85,68.826,55.42
2010-03-25,7838.1,10053.98,323.26,837.66,9365.17,143.4,12098.26,375.1,925.29,68.597,55.514
2010-03-26,7876.86,10103.69,325.53,838.79,9392.41,143.98,12133.44,377.73,926.53,73.438,55.626
2010-03-29,7947.45,10194.23,327.39,848.46,9517.68,145.29,12295.28,379.89,937.21,67.438,55.448
2010-03-30,7962.22,10213.19,327.44,852.86,9550.34,145.02,12337.46,379.94,942.08,62.112,55.373
2010-03-31,7920.06,10159.11,326.16,840.54,9511.31,145.36,12287.05,378.45,928.47,65.507,55.534
2010-04-01,8013.09,10278.44,329.86,852.76,9619.34,145.95,12426.61,382.75,941.96,65.142,55.502
2010-04-02,8025.93,10294.9,330.49,852.57,9636.42,147.39,12448.67,383.48,941.76,66.301,55.52
2010-04-06,8089.65,10376.64,334.04,853.96,9689.42,147.81,12517.13,387.6,943.29,67.981,55.678
2010-04-07,8121.78,10417.86,334.72,856.98,9762.19,148.7,12611.15,388.39,946.63,66.341,55.57
2010-04-08,8057.6,10335.53,329.79,861.38,9751.63,147.9,12597.5,382.67,951.48,60.049,55.161
2010-04-09,8092.03,10379.69,331.17,867.86,9782.28,148.54,12637.1,384.27,958.64,62.159,55.153
2010-04-12,8117.75,10412.68,331.78,868.12,9846.72,149.71,12720.34,384.98,958.93,58.693,55.078
2010-04-13,8029.73,10299.78,327.94,852.57,9778.84,147.38,12632.65,380.52,941.76,57.153,55.036
2010-04-14,8097.13,10386.24,331.01,859.39,9846.51,149.34,12720.07,384.08,949.29,62.888,55.085
2010-04-15,8171.94,10482.19,333.27,863.41,9994.73,150.75,12911.54,386.71,953.73,59.158,54.952
2010-04-16,8111.57,10404.75,330.29,855.11,9955.34,150.69,12860.67,383.25,944.56,59.946,54.868
2010-04-19,7854.22,10074.66,321.35,820.41,9594.93,144.15,12395.06,372.88,906.24,59.553,55.131
2010-04-20,7900.42,10133.91,324.63,824.19,9586.15,145.69,12383.73,376.68,910.41,63.34,55.364
2010-04-21,7990.53,10249.5,329.5,829.96,9652.64,148.09,12469.62,382.33,916.78,71.384,55.571
2010-04-22,7978.69,10234.32,330.39,820.31,9605.29,148.66,12408.46,383.37,906.12,70.67,55.806
2010-04-23,8004.89,10267.92,332.24,821.41,9605.46,149.77,12408.67,385.51,907.33,72.018,55.933
2010-04-26,8158.14,10464.5,338.06,842.42,9793.54,150.49,12651.64,392.26,930.54,68.174,55.843
2010-04-27,8146.44,10449.48,337.69,839.7,9780.15,149.68,12634.35,391.84,927.54,68.2,55.857
2010-04-28,8081.55,10366.25,335.55,823.89,9714.57,148.81,12549.63,389.35,910.07,65.009,55.945
2010-04-29,8054.05,10330.97,333.43,822.09,9726.48,149.86,12565.01,386.89,908.08,66.069,55.784
